test preparation course,sum_score,prep_binary,rank_prep,rank_score,d_i,d_i^2
none,170.0,0.0,688.0,763.5,-75.5,5700.25
completed,264.0,1.0,188.0,92.5,95.5,9120.25
completed,202.0,1.0,188.0,493.0,-305.0,93025.0
none,217.0,0.0,688.0,390.0,298.0,88804.0
none,137.0,0.0,688.0,923.5,-235.5,55460.25
completed,230.0,1.0,188.0,292.5,-104.5,10920.25
none,163.0,0.0,688.0,805.5,-117.5,13806.25
completed,136.0,1.0,188.0,929.0,-741.0,549081.0
completed,190.0,1.0,188.0,615.0,-427.0,182329.0
completed,153.0,1.0,188.0,856.0,-668.0,446224.0
none,185.0,0.0,688.0,658.5,29.5,870.25
none,146.0,0.0,688.0,884.0,-196.0,38416.0
none,180.0,0.0,688.0,688.5,-0.5,0.25
none,191.0,0.0,688.0,604.0,84.0,7056.0
completed,196.0,1.0,188.0,551.0,-363.0,131769.0
none,198.0,0.0,688.0,530.5,157.5,24806.25
completed,171.0,1.0,188.0,755.0,-567.0,321489.0
none,286.0,0.0,688.0,27.0,661.0,436921.0
completed,171.0,1.0,188.0,755.0,-567.0,321489.0
none,149.0,0.0,688.0,873.0,-185.0,34225.0
completed,204.0,1.0,188.0,477.0,-289.0,83521.0
none,216.0,0.0,688.0,396.0,292.0,85264.0
none,195.0,0.0,688.0,562.0,126.0,15876.0
completed,213.0,1.0,188.0,411.5,-223.5,49952.25
completed,155.0,1.0,188.0,844.5,-656.5,430992.25
completed,287.0,1.0,188.0,23.5,164.5,27060.25
none,218.0,0.0,688.0,383.5,304.5,92720.25
none,247.0,0.0,688.0,174.5,513.5,263682.25
completed,177.0,1.0,188.0,710.5,-522.5,273006.25
completed,200.0,1.0,188.0,512.5,-324.5,105300.25
none,193.0,0.0,688.0,582.0,106.0,11236.0
completed,178.0,1.0,188.0,701.5,-513.5,263682.25
none,138.0,0.0,688.0,919.0,-231.0,53361.0
none,137.0,0.0,688.0,923.5,-235.5,55460.25
none,227.0,0.0,688.0,310.5,377.5,142506.25
none,143.0,0.0,688.0,902.0,-214.0,45796.0
none,216.0,0.0,688.0,396.0,292.0,85264.0
none,219.0,0.0,688.0,376.5,311.5,97032.25
completed,223.0,1.0,188.0,343.5,-155.5,24180.25
none,215.0,0.0,688.0,402.5,285.5,81510.25
completed,209.0,1.0,188.0,440.0,-252.0,63504.0
none,252.0,0.0,688.0,147.5,540.5,292140.25
none,145.0,0.0,688.0,888.5,-200.5,40200.25
completed,187.0,1.0,188.0,643.5,-455.5,207480.25
none,181.0,0.0,688.0,682.5,5.5,30.25
completed,185.0,1.0,188.0,658.5,-470.5,221370.25
none,226.0,0.0,688.0,320.0,368.0,135424.0
completed,146.0,1.0,188.0,884.0,-696.0,484416.0
completed,275.0,1.0,188.0,58.0,130.0,16900.0
none,209.0,0.0,688.0,440.0,248.0,61504.0
completed,161.0,1.0,188.0,813.5,-625.5,391250.25
none,181.0,0.0,688.0,682.5,5.5,30.25
none,113.0,0.0,688.0,974.5,-286.5,82082.25
none,210.0,0.0,688.0,430.0,258.0,66564.0
none,198.0,0.0,688.0,530.5,157.5,24806.25
none,220.0,0.0,688.0,368.5,319.5,102080.25
none,260.0,0.0,688.0,106.5,581.5,338142.25
completed,213.0,1.0,188.0,411.5,-223.5,49952.25
none,163.0,0.0,688.0,805.5,-117.5,13806.25
none,136.0,0.0,688.0,929.0,-241.0,58081.0
completed,194.0,1.0,188.0,572.0,-384.0,147456.0
none,211.0,0.0,688.0,424.0,264.0,69696.0
none,196.0,0.0,688.0,551.0,137.0,18769.0
none,187.0,0.0,688.0,643.5,44.5,1980.25
none,223.0,0.0,688.0,343.5,344.5,118680.25
none,171.0,0.0,688.0,755.0,-67.0,4489.0
completed,187.0,1.0,188.0,643.5,-455.5,207480.25
none,173.0,0.0,688.0,738.0,-50.0,2500.0
none,239.0,0.0,688.0,227.5,460.5,212060.25
completed,196.0,1.0,188.0,551.0,-363.0,131769.0
none,220.0,0.0,688.0,368.5,319.5,102080.25
none,248.0,0.0,688.0,169.5,518.5,268842.25
none,260.0,0.0,688.0,106.5,581.5,338142.25
none,145.0,0.0,688.0,888.5,-200.5,40200.25
none,170.0,0.0,688.0,763.5,-75.5,5700.25
completed,251.0,1.0,188.0,153.5,34.5,1190.25
none,205.0,0.0,688.0,469.5,218.5,47742.25
none,240.0,0.0,688.0,219.5,468.5,219492.25
completed,279.0,1.0,188.0,43.5,144.5,20880.25
none,238.0,0.0,688.0,234.5,453.5,205662.25
none,222.0,0.0,688.0,353.5,334.5,111890.25
none,174.0,0.0,688.0,730.0,-42.0,1764.0
completed,249.0,1.0,188.0,163.5,24.5,600.25
none,195.0,0.0,688.0,562.0,126.0,15876.0
completed,165.0,1.0,188.0,795.5,-607.5,369056.25
none,182.0,0.0,688.0,675.0,13.0,169.0
completed,243.0,1.0,188.0,197.0,-9.0,81.0
none,119.0,0.0,688.0,966.5,-278.5,77562.25
none,246.0,0.0,688.0,178.5,509.5,259590.25
none,196.0,0.0,688.0,551.0,137.0,18769.0
none,192.0,0.0,688.0,593.0,95.0,9025.0
none,220.0,0.0,688.0,368.5,319.5,102080.25
none,235.0,0.0,688.0,258.0,430.0,184900.0
none,226.0,0.0,688.0,320.0,368.0,135424.0
none,145.0,0.0,688.0,888.5,-200.5,40200.25
none,203.0,0.0,688.0,484.5,203.5,41412.25
none,233.0,0.0,688.0,276.0,412.0,169744.0
none,244.0,0.0,688.0,188.0,500.0,250000.0
completed,300.0,1.0,188.0,2.0,186.0,34596.0
completed,249.0,1.0,188.0,163.5,24.5,600.25
completed,236.0,1.0,188.0,249.0,-61.0,3721.0
none,131.0,0.0,688.0,948.0,-260.0,67600.0
completed,139.0,1.0,188.0,915.0,-727.0,528529.0
completed,223.0,1.0,188.0,343.5,-155.5,24180.25
none,226.0,0.0,688.0,320.0,368.0,135424.0
none,233.0,0.0,688.0,276.0,412.0,169744.0
none,199.0,0.0,688.0,522.5,165.5,27390.25
none,190.0,0.0,688.0,615.0,73.0,5329.0
completed,253.0,1.0,188.0,142.5,45.5,2070.25
completed,126.0,1.0,188.0,955.5,-767.5,589056.25
completed,283.0,1.0,188.0,36.0,152.0,23104.0
none,156.0,0.0,688.0,840.0,-152.0,23104.0
none,253.0,0.0,688.0,142.5,545.5,297570.25
none,141.0,0.0,688.0,909.0,-221.0,48841.0
none,154.0,0.0,688.0,850.0,-162.0,26244.0
none,157.0,0.0,688.0,834.0,-146.0,21316.0
none,189.0,0.0,688.0,624.5,63.5,4032.25
completed,183.0,1.0,188.0,670.0,-482.0,232324.0
none,144.0,0.0,688.0,895.0,-207.0,42849.0
completed,162.0,1.0,188.0,811.0,-623.0,388129.0
none,138.0,0.0,688.0,919.0,-231.0,53361.0
none,154.0,0.0,688.0,850.0,-162.0,26244.0
none,174.0,0.0,688.0,730.0,-42.0,1764.0
completed,193.0,1.0,188.0,582.0,-394.0,155236.0
completed,199.0,1.0,188.0,522.5,-334.5,111890.25
completed,284.0,1.0,188.0,32.5,155.5,24180.25
none,188.0,0.0,688.0,633.0,55.0,3025.0
none,221.0,0.0,688.0,360.5,327.5,107256.25
none,170.0,0.0,688.0,763.5,-75.5,5700.25
none,158.0,0.0,688.0,828.5,-140.5,19740.25
none,142.0,0.0,688.0,905.5,-217.5,47306.25
none,124.0,0.0,688.0,960.0,-272.0,73984.0
none,158.0,0.0,688.0,828.5,-140.5,19740.25
none,182.0,0.0,688.0,675.0,13.0,169.0
none,167.0,0.0,688.0,781.0,-93.0,8649.0
none,205.0,0.0,688.0,469.5,218.5,47742.25
none,194.0,0.0,688.0,572.0,116.0,13456.0
none,134.0,0.0,688.0,939.0,-251.0,63001.0
none,249.0,0.0,688.0,163.5,524.5,275100.25
none,230.0,0.0,688.0,292.5,395.5,156420.25
completed,221.0,1.0,188.0,360.5,-172.5,29756.25
none,171.0,0.0,688.0,755.0,-67.0,4489.0
completed,192.0,1.0,188.0,593.0,-405.0,164025.0
completed,141.0,1.0,188.0,909.0,-721.0,519841.0
none,156.0,0.0,688.0,840.0,-152.0,23104.0
none,256.0,0.0,688.0,131.0,557.0,310249.0
none,159.0,0.0,688.0,823.5,-135.5,18360.25
none,283.0,0.0,688.0,36.0,652.0,425104.0
none,182.0,0.0,688.0,675.0,13.0,169.0
completed,167.0,1.0,188.0,781.0,-593.0,351649.0
none,189.0,0.0,688.0,624.5,63.5,4032.25
none,201.0,0.0,688.0,502.0,186.0,34596.0
completed,210.0,1.0,188.0,430.0,-242.0,58564.0
completed,265.0,1.0,188.0,89.0,99.0,9801.0
completed,157.0,1.0,188.0,834.0,-646.0,417316.0
none,277.0,0.0,688.0,51.0,637.0,405769.0
none,78.0,0.0,688.0,996.0,-308.0,94864.0
completed,299.0,1.0,188.0,4.5,183.5,33672.25
none,230.0,0.0,688.0,292.5,395.5,156420.25
completed,193.0,1.0,188.0,582.0,-394.0,155236.0
completed,223.0,1.0,188.0,343.5,-155.5,24180.25
none,104.0,0.0,688.0,985.0,-297.0,88209.0
none,182.0,0.0,688.0,675.0,13.0,169.0
completed,240.0,1.0,188.0,219.5,-31.5,992.25
none,285.0,0.0,688.0,30.5,657.5,432306.25
none,174.0,0.0,688.0,730.0,-42.0,1764.0
completed,257.0,1.0,188.0,127.0,61.0,3721.0
completed,189.0,1.0,188.0,624.5,-436.5,190532.25
none,236.0,0.0,688.0,249.0,439.0,192721.0
completed,203.0,1.0,188.0,484.5,-296.5,87912.25
none,202.0,0.0,688.0,493.0,195.0,38025.0
none,240.0,0.0,688.0,219.5,468.5,219492.25
completed,261.0,1.0,188.0,102.5,85.5,7310.25
none,176.0,0.0,688.0,716.0,-28.0,784.0
completed,147.0,1.0,188.0,880.0,-692.0,478864.0
none,218.0,0.0,688.0,383.5,304.5,92720.25
completed,278.0,1.0,188.0,47.0,141.0,19881.0
completed,241.0,1.0,188.0,211.0,-23.0,529.0
completed,199.0,1.0,188.0,522.5,-334.5,111890.25
completed,180.0,1.0,188.0,688.5,-500.5,250500.25
none,189.0,0.0,688.0,624.5,63.5,4032.25
none,174.0,0.0,688.0,730.0,-42.0,1764.0
completed,261.0,1.0,188.0,102.5,85.5,7310.25
none,243.0,0.0,688.0,197.0,491.0,241081.0
none,175.0,0.0,688.0,721.5,-33.5,1122.25
none,205.0,0.0,688.0,469.5,218.5,47742.25
none,271.0,0.0,688.0,71.5,616.5,380072.25
completed,234.0,1.0,188.0,268.0,-80.0,6400.0
completed,152.0,1.0,188.0,861.0,-673.0,452929.0
completed,225.0,1.0,188.0,328.0,-140.0,19600.0
none,238.0,0.0,688.0,234.5,453.5,205662.25
none,194.0,0.0,688.0,572.0,116.0,13456.0
completed,178.0,1.0,188.0,701.5,-513.5,263682.25
none,200.0,0.0,688.0,512.5,175.5,30800.25
completed,239.0,1.0,188.0,227.5,-39.5,1560.25
none,192.0,0.0,688.0,593.0,95.0,9025.0
completed,195.0,1.0,188.0,562.0,-374.0,139876.0
completed,237.0,1.0,188.0,241.5,-53.5,2862.25
none,194.0,0.0,688.0,572.0,116.0,13456.0
none,125.0,0.0,688.0,958.0,-270.0,72900.0
completed,215.0,1.0,188.0,402.5,-214.5,46010.25
none,222.0,0.0,688.0,353.5,334.5,111890.25
none,165.0,0.0,688.0,795.5,-107.5,11556.25
none,214.0,0.0,688.0,407.0,281.0,78961.0
completed,132.0,1.0,188.0,946.0,-758.0,574564.0
completed,197.0,1.0,188.0,540.0,-352.0,123904.0
none,136.0,0.0,688.0,929.0,-241.0,58081.0
none,209.0,0.0,688.0,440.0,248.0,61504.0
completed,207.0,1.0,188.0,456.5,-268.5,72092.25
completed,195.0,1.0,188.0,562.0,-374.0,139876.0
none,226.0,0.0,688.0,320.0,368.0,135424.0
none,264.0,0.0,688.0,92.5,595.5,354620.25
none,234.0,0.0,688.0,268.0,420.0,176400.0
completed,241.0,1.0,188.0,211.0,-23.0,529.0
none,278.0,0.0,688.0,47.0,641.0,410881.0
none,239.0,0.0,688.0,227.5,460.5,212060.25
none,258.0,0.0,688.0,120.5,567.5,322056.25
completed,228.0,1.0,188.0,302.0,-114.0,12996.0
completed,293.0,1.0,188.0,13.0,175.0,30625.0
none,116.0,0.0,688.0,971.0,-283.0,80089.0
completed,261.0,1.0,188.0,102.5,85.5,7310.25
none,139.0,0.0,688.0,915.0,-227.0,51529.0
completed,258.0,1.0,188.0,120.5,67.5,4556.25
none,160.0,0.0,688.0,817.5,-129.5,16770.25
none,191.0,0.0,688.0,604.0,84.0,7056.0
completed,143.0,1.0,188.0,902.0,-714.0,509796.0
completed,208.0,1.0,188.0,449.5,-261.5,68382.25
none,269.0,0.0,688.0,77.5,610.5,372710.25
none,175.0,0.0,688.0,721.5,-33.5,1122.25
none,273.0,0.0,688.0,66.0,622.0,386884.0
none,235.0,0.0,688.0,258.0,430.0,184900.0
none,187.0,0.0,688.0,643.5,44.5,1980.25
completed,235.0,1.0,188.0,258.0,-70.0,4900.0
none,178.0,0.0,688.0,701.5,-13.5,182.25
none,249.0,0.0,688.0,163.5,524.5,275100.25
none,136.0,0.0,688.0,929.0,-241.0,58081.0
none,166.0,0.0,688.0,789.0,-101.0,10201.0
completed,203.0,1.0,188.0,484.5,-296.5,87912.25
none,166.0,0.0,688.0,789.0,-101.0,10201.0
none,223.0,0.0,688.0,343.5,344.5,118680.25
completed,124.0,1.0,188.0,960.0,-772.0,595984.0
completed,296.0,1.0,188.0,8.0,180.0,32400.0
completed,244.0,1.0,188.0,188.0,0.0,0.0
none,236.0,0.0,688.0,249.0,439.0,192721.0
none,176.0,0.0,688.0,716.0,-28.0,784.0
completed,264.0,1.0,188.0,92.5,95.5,9120.25
completed,192.0,1.0,188.0,593.0,-405.0,164025.0
completed,234.0,1.0,188.0,268.0,-80.0,6400.0
completed,262.0,1.0,188.0,98.0,90.0,8100.0
none,202.0,0.0,688.0,493.0,195.0,38025.0
completed,157.0,1.0,188.0,834.0,-646.0,417316.0
none,216.0,0.0,688.0,396.0,292.0,85264.0
none,172.0,0.0,688.0,746.0,-58.0,3364.0
none,231.0,0.0,688.0,286.5,401.5,161202.25
completed,251.0,1.0,188.0,153.5,34.5,1190.25
completed,209.0,1.0,188.0,440.0,-252.0,63504.0
none,136.0,0.0,688.0,929.0,-241.0,58081.0
completed,280.0,1.0,188.0,41.0,147.0,21609.0
completed,227.0,1.0,188.0,310.5,-122.5,15006.25
none,288.0,0.0,688.0,22.0,666.0,443556.0
none,263.0,0.0,688.0,95.5,592.5,351056.25
none,173.0,0.0,688.0,738.0,-50.0,2500.0
none,178.0,0.0,688.0,701.5,-13.5,182.25
completed,141.0,1.0,188.0,909.0,-721.0,519841.0
none,87.0,0.0,688.0,992.0,-304.0,92416.0
completed,144.0,1.0,188.0,895.0,-707.0,499849.0
completed,185.0,1.0,188.0,658.5,-470.5,221370.25
none,121.0,0.0,688.0,964.0,-276.0,76176.0
completed,273.0,1.0,188.0,66.0,122.0,14884.0
none,188.0,0.0,688.0,633.0,55.0,3025.0
none,257.0,0.0,688.0,127.0,561.0,314721.0
completed,238.0,1.0,188.0,234.5,-46.5,2162.25
none,219.0,0.0,688.0,376.5,311.5,97032.25
completed,163.0,1.0,188.0,805.5,-617.5,381306.25
completed,226.0,1.0,188.0,320.0,-132.0,17424.0
completed,258.0,1.0,188.0,120.5,67.5,4556.25
none,163.0,0.0,688.0,805.5,-117.5,13806.25
none,224.0,0.0,688.0,334.0,354.0,125316.0
none,126.0,0.0,688.0,955.5,-267.5,71556.25
none,174.0,0.0,688.0,730.0,-42.0,1764.0
none,230.0,0.0,688.0,292.5,395.5,156420.25
none,252.0,0.0,688.0,147.5,540.5,292140.25
none,109.0,0.0,688.0,978.5,-290.5,84390.25
completed,213.0,1.0,188.0,411.5,-223.5,49952.25
none,133.0,0.0,688.0,943.0,-255.0,65025.0
none,231.0,0.0,688.0,286.5,401.5,161202.25
completed,213.0,1.0,188.0,411.5,-223.5,49952.25
completed,160.0,1.0,188.0,817.5,-629.5,396270.25
none,175.0,0.0,688.0,721.5,-33.5,1122.25
completed,200.0,1.0,188.0,512.5,-324.5,105300.25
completed,168.0,1.0,188.0,775.5,-587.5,345156.25
none,248.0,0.0,688.0,169.5,518.5,268842.25
none,202.0,0.0,688.0,493.0,195.0,38025.0
completed,172.0,1.0,188.0,746.0,-558.0,311364.0
none,293.0,0.0,688.0,13.0,675.0,455625.0
none,99.0,0.0,688.0,988.0,-300.0,90000.0
none,204.0,0.0,688.0,477.0,211.0,44521.0
completed,227.0,1.0,188.0,310.5,-122.5,15006.25
none,222.0,0.0,688.0,353.5,334.5,111890.25
none,266.0,0.0,688.0,85.0,603.0,363609.0
completed,207.0,1.0,188.0,456.5,-268.5,72092.25
none,133.0,0.0,688.0,943.0,-255.0,65025.0
none,154.0,0.0,688.0,850.0,-162.0,26244.0
completed,135.0,1.0,188.0,934.5,-746.5,557262.25
none,144.0,0.0,688.0,895.0,-207.0,42849.0
none,178.0,0.0,688.0,701.5,-13.5,182.25
completed,186.0,1.0,188.0,652.0,-464.0,215296.0
completed,146.0,1.0,188.0,884.0,-696.0,484416.0
none,163.0,0.0,688.0,805.5,-117.5,13806.25
none,250.0,0.0,688.0,158.5,529.5,280370.25
none,181.0,0.0,688.0,682.5,5.5,30.25
completed,236.0,1.0,188.0,249.0,-61.0,3721.0
none,164.0,0.0,688.0,799.5,-111.5,12432.25
none,185.0,0.0,688.0,658.5,29.5,870.25
completed,152.0,1.0,188.0,861.0,-673.0,452929.0
none,212.0,0.0,688.0,418.0,270.0,72900.0
none,243.0,0.0,688.0,197.0,491.0,241081.0
completed,267.0,1.0,188.0,82.0,106.0,11236.0
none,200.0,0.0,688.0,512.5,175.5,30800.25
completed,222.0,1.0,188.0,353.5,-165.5,27390.25
completed,194.0,1.0,188.0,572.0,-384.0,147456.0
none,187.0,0.0,688.0,643.5,44.5,1980.25
none,206.0,0.0,688.0,463.0,225.0,50625.0
none,202.0,0.0,688.0,493.0,195.0,38025.0
none,168.0,0.0,688.0,775.5,-87.5,7656.25
none,249.0,0.0,688.0,163.5,524.5,275100.25
none,160.0,0.0,688.0,817.5,-129.5,16770.25
none,151.0,0.0,688.0,866.0,-178.0,31684.0
completed,166.0,1.0,188.0,789.0,-601.0,361201.0
none,82.0,0.0,688.0,994.0,-306.0,93636.0
none,114.0,0.0,688.0,972.5,-284.5,80940.25
completed,189.0,1.0,188.0,624.5,-436.5,190532.25
none,245.0,0.0,688.0,182.5,505.5,255530.25
none,161.0,0.0,688.0,813.5,-125.5,15750.25
none,190.0,0.0,688.0,615.0,73.0,5329.0
none,258.0,0.0,688.0,120.5,567.5,322056.25
none,274.0,0.0,688.0,62.5,625.5,391250.25
none,134.0,0.0,688.0,939.0,-251.0,63001.0
completed,257.0,1.0,188.0,127.0,61.0,3721.0
none,230.0,0.0,688.0,292.5,395.5,156420.25
completed,222.0,1.0,188.0,353.5,-165.5,27390.25
completed,191.0,1.0,188.0,604.0,-416.0,173056.0
completed,188.0,1.0,188.0,633.0,-445.0,198025.0
none,121.0,0.0,688.0,964.0,-276.0,76176.0
completed,200.0,1.0,188.0,512.5,-324.5,105300.25
completed,151.0,1.0,188.0,866.0,-678.0,459684.0
completed,159.0,1.0,188.0,823.5,-635.5,403860.25
none,154.0,0.0,688.0,850.0,-162.0,26244.0
none,182.0,0.0,688.0,675.0,13.0,169.0
none,217.0,0.0,688.0,390.0,298.0,88804.0
none,209.0,0.0,688.0,440.0,248.0,61504.0
none,205.0,0.0,688.0,469.5,218.5,47742.25
completed,149.0,1.0,188.0,873.0,-685.0,469225.0
completed,235.0,1.0,188.0,258.0,-70.0,4900.0
none,242.0,0.0,688.0,205.0,483.0,233289.0
none,209.0,0.0,688.0,440.0,248.0,61504.0
none,148.0,0.0,688.0,876.5,-188.5,35532.25
none,206.0,0.0,688.0,463.0,225.0,50625.0
none,248.0,0.0,688.0,169.5,518.5,268842.25
none,239.0,0.0,688.0,227.5,460.5,212060.25
completed,197.0,1.0,188.0,540.0,-352.0,123904.0
none,269.0,0.0,688.0,77.5,610.5,372710.25
none,157.0,0.0,688.0,834.0,-146.0,21316.0
none,248.0,0.0,688.0,169.5,518.5,268842.25
completed,194.0,1.0,188.0,572.0,-384.0,147456.0
completed,216.0,1.0,188.0,396.0,-208.0,43264.0
none,182.0,0.0,688.0,675.0,13.0,169.0
none,224.0,0.0,688.0,334.0,354.0,125316.0
none,209.0,0.0,688.0,440.0,248.0,61504.0
completed,198.0,1.0,188.0,530.5,-342.5,117306.25
completed,239.0,1.0,188.0,227.5,-39.5,1560.25
none,247.0,0.0,688.0,174.5,513.5,263682.25
none,218.0,0.0,688.0,383.5,304.5,92720.25
completed,185.0,1.0,188.0,658.5,-470.5,221370.25
completed,212.0,1.0,188.0,418.0,-230.0,52900.0
completed,224.0,1.0,188.0,334.0,-146.0,21316.0
completed,174.0,1.0,188.0,730.0,-542.0,293764.0
completed,144.0,1.0,188.0,895.0,-707.0,499849.0
completed,177.0,1.0,188.0,710.5,-522.5,273006.25
none,177.0,0.0,688.0,710.5,-22.5,506.25
none,210.0,0.0,688.0,430.0,258.0,66564.0
none,212.0,0.0,688.0,418.0,270.0,72900.0
completed,299.0,1.0,188.0,4.5,183.5,33672.25
none,240.0,0.0,688.0,219.5,468.5,219492.25
none,261.0,0.0,688.0,102.5,585.5,342810.25
none,144.0,0.0,688.0,895.0,-207.0,42849.0
completed,266.0,1.0,188.0,85.0,103.0,10609.0
none,226.0,0.0,688.0,320.0,368.0,135424.0
none,212.0,0.0,688.0,418.0,270.0,72900.0
none,183.0,0.0,688.0,670.0,18.0,324.0
completed,169.0,1.0,188.0,770.5,-582.5,339306.25
none,156.0,0.0,688.0,840.0,-152.0,23104.0
none,166.0,0.0,688.0,789.0,-101.0,10201.0
completed,174.0,1.0,188.0,730.0,-542.0,293764.0
